# #Frequency(Hz) #PhaseVelocity(m/s) #BesselOrdinat #BesselAbsis #SPACCoefficient 
2.956488137084982171e+01 3.247901360159327169e+02 8.579153473524137041e+00 2.031229279222346654e-02 -3.573530360512222614e-16
2.986656383395480674e+01 3.298623617170411535e+02 8.533429856044929096e+00 3.280502690884611744e-02 -7.632783294297951215e-17
3.016824629685960701e+01 3.316177673456154480e+02 8.573998464846251721e+00 2.172003059818698040e-02 -3.400058012914541905e-16
3.046992875982527238e+01 3.321161841365444047e+02 8.646742518387716459e+00 1.896951712505274418e-03 -3.001071613439876273e-16
3.077161122283396466e+01 3.358391632143292327e+02 8.635550437137199609e+00 4.939235217978924994e-03 -2.602085213965210642e-18
3.107329368574250950e+01 3.344303146241449554e+02 8.756948179982865454e+00 -2.780415618187578874e-02 -1.144917494144692682e-16
3.137497614876174623e+01 3.389282906619862956e+02 8.724623817886564936e+00 -1.915040056518987205e-02 -1.526556658859590243e-16
3.167665861169749775e+01 3.437670699764958613e+02 8.684527985032259423e+00 -8.344587479681322972e-03 1.752070710736575165e-16
3.197834107468138853e+01 3.424908225940871489e+02 8.799907743508294189e+00 -3.920944036849339370e-02 3.191891195797325054e-16
3.228002353765724308e+01 3.474333435931913527e+02 8.756558920465998597e+00 -2.770028985782785683e-02 0.000000000000000000e+00
3.258170600060832811e+01 3.550252972008143502e+02 8.649393354781379273e+00 1.176916866018059855e-03 -2.667137344314340908e-17
3.288338846360093726e+01 3.608106065834874698e+02 8.589510097881573714e+00 1.748505191889374380e-02 3.747002708109903324e-16
3.318507092654775903e+01 3.614096895968359036e+02 8.653944099949061552e+00 -5.868373522179230869e-05 1.897353801849632760e-18
3.348675338952650549e+01 3.585141160021481141e+02 8.803146131111827088e+00 -4.006426967404458361e-02 -1.526556658859590243e-16
3.378843585248921499e+01 3.603092224773573093e+02 8.838200237059497866e+00 -4.926862012213448910e-02 2.289834988289385365e-16
3.409011831546246185e+01 3.615742786238070039e+02 8.885914036874094535e+00 -6.163940235073672030e-02 -1.179611963664228824e-16
3.439180077843742112e+01 3.660107230831257539e+02 8.855890430679346892e+00 -5.387753293410659644e-02 2.220446049250313081e-16
3.469348324140013773e+01 3.736174795374474229e+02 8.751688401749333934e+00 -2.639994652847039644e-02 -1.040834085586084257e-17
3.499516570437683782e+01 3.743762159285152507e+02 8.809899038219366929e+00 -4.184444547305713608e-02 1.179611963664228824e-16
3.529684816733927022e+01 3.774556668684315355e+02 8.813351762661920219e+00 -4.275338054363032186e-02 -4.163336342344337027e-17
3.559853063030352871e+01 3.847541914854839433e+02 8.720067366255488395e+00 -1.792616792356652167e-02 1.769417945496343236e-16
3.590021309328380283e+01 3.923941944621737434e+02 8.622745747099020974e+00 8.423923472654215941e-03 9.714451465470119729e-17
3.620189555622608424e+01 3.918086870377416062e+02 8.708199656214574702e+00 -1.473284855470105049e-02 5.342948306008565851e-16
3.650357801922206846e+01 3.933966998127788770e+02 8.745322921329044874e+00 -2.469844354268880757e-02 -5.551115123125782702e-17
3.680526048218942492e+01 4.101514119063868407e+02 8.457398847430701139e+00 5.356217469955565358e-02 2.498001805406602216e-16
3.710694294513780989e+01 4.169632464319610108e+02 8.387422657836792084e+00 7.256002299153775648e-02 -4.302114220422481594e-16
3.740862540813367332e+01 4.135910044688490643e+02 8.524556493728345785e+00 3.523004430605287951e-02 -6.938893903907228378e-17
3.771030787108477966e+01 4.169720648908515841e+02 8.523623245846501106e+00 3.548508207781321533e-02 -1.040834085586084257e-16
3.801199033405738703e+01 4.274060305983845751e+02 8.382066304582385996e+00 7.400726210985293652e-02 3.469446951953614189e-16
3.831367279702111261e+01 4.318464270573363137e+02 8.361719267519859500e+00 7.949356985724284619e-02 4.163336342344337027e-17
3.861535525998789353e+01 4.314825479015444216e+02 8.434666731518833060e+00 5.974968569043330457e-02 3.469446951953614189e-17
3.891703772297806552e+01 4.363740429631000097e+02 8.405276284065539727e+00 6.772800910518365913e-02 -2.220446049250313081e-16
3.921872018592287645e+01 4.390295677440927307e+02 8.419198997396923900e+00 6.395195232576879329e-02 8.326672684688674053e-17
3.952040264889475196e+01 4.418247362759560133e+02 8.430288965382782607e+00 6.093974655873213297e-02 -1.110223024625156540e-16
3.982208511188832745e+01 4.432864361193555851e+02 8.466631945700985540e+00 5.104566455972237710e-02 1.249000902703301108e-16
4.012376757483232836e+01 4.461073739211005886e+02 8.476829177210472466e+00 4.826451869363886094e-02 3.122502256758252770e-16
4.042545003781344093e+01 4.525230448492615665e+02 8.419480397898446711e+00 6.387556628455406948e-02 -1.249000902703301108e-16
4.072713250079217318e+01 4.529217071052373740e+02 8.474846199182351825e+00 4.880548689181253563e-02 -2.567390744445674500e-16
4.102881496372914683e+01 4.541141741787481578e+02 8.515203730998972986e+00 3.778580387547395003e-02 1.457167719820517959e-16
4.133049742672131543e+01 4.608346355019943985e+02 8.452723194962908693e+00 5.483585784604766422e-02 2.081668171172168513e-17
4.163217988968238359e+01 4.605707255081866265e+02 8.519300723034994860e+00 3.666629778627474717e-02 -5.551115123125782702e-17
4.193386235263338335e+01 4.629990470582458784e+02 8.536029268788475122e+00 3.209460863723392204e-02 4.996003610813204432e-16
4.223554481562429430e+01 4.690300959192953201e+02 8.486888909744427778e+00 4.551923398951268629e-02 0.000000000000000000e+00
4.253722727858784225e+01 4.649615027238995708e+02 8.622303563173376872e+00 8.544331117192240782e-03 -3.348016308635237692e-16
4.283890974155726639e+01 4.742724255469945547e+02 8.512980950346461739e+00 3.839314149331735093e-02 -4.857225732735059864e-17
4.314059220452916321e+01 4.886236422769218848e+02 8.321138550094046238e+00 9.037488555803498136e-02 2.775557561562891351e-17
4.344227466750368194e+01 4.856977647565191205e+02 8.429805993800037811e+00 6.107100526213281311e-02 1.665334536937734811e-16
4.374395713046120449e+01 4.890108498255389691e+02 8.430837132286463032e+00 6.079076140845554588e-02 -6.938893903907228378e-18
4.404563959342775803e+01 4.938508840486310874e+02 8.405783743970191679e+00 6.759049442890438519e-02 -3.053113317719180486e-16
4.434732205639973301e+01 4.936748014864593301e+02 8.466376292202994591e+00 5.111536633724308998e-02 -6.938893903907228378e-18
4.464900451935995562e+01 5.019339467400467925e+02 8.383711771188357531e+00 7.356279727734794938e-02 6.938893903907228378e-17
4.495068698236055127e+01 5.055775209527398033e+02 8.379530861942663833e+00 7.469190071140272003e-02 -2.359223927328457648e-16
4.525236944529154215e+01 4.991460831622415526e+02 8.544463206414677714e+00 2.978963826312369667e-02 -6.383782391594650107e-16
4.555405190827863748e+01 4.998996459713625313e+02 8.588460262151974334e+00 1.777158032272458180e-02 -1.353084311261909534e-16
4.585573437124573815e+01 5.018883954933143059e+02 8.611080044044749471e+00 1.160196532017957610e-02 4.163336342344337027e-16
4.615741683420705499e+01 5.011472545913838417e+02 8.680550495278707146e+00 -7.268919299754154212e-03 -5.178149575790769177e-16
4.645909929720201603e+01 5.105146044460797157e+02 8.576967070482954369e+00 2.090932390182554182e-02 -2.775557561562891351e-17
4.676078176011797183e+01 5.124056805356765381e+02 8.600802100796030913e+00 1.440421992220420472e-02 1.925543058334255875e-16
4.706246422313033406e+01 5.061084275261681000e+02 8.763997030393699816e+00 -2.968346211406043197e-02 2.255140518769849223e-16
4.736414668608611578e+01 5.187434657459733671e+02 8.605343397930548477e+00 1.316580441074991989e-02 1.040834085586084257e-17
4.766582914904245172e+01 5.273290007245668676e+02 8.519157023953242813e+00 3.670556507853620781e-02 4.857225732735059864e-17
4.796751161203317793e+01 5.152453025403207221e+02 8.774134262750733271e+00 -3.238091025184563349e-02 2.636779683484746784e-16
4.826919407498176184e+01 5.247171132075798141e+02 8.669937096601184834e+00 -4.395712028874659144e-03 5.811323644522303766e-17
4.857087653796694582e+01 5.404016414342389680e+02 8.470916659604318610e+00 4.987729357468494856e-02 2.775557561562891351e-17
4.887255900093395411e+01 5.394235681674617808e+02 8.538985764437494907e+00 3.128659940444541987e-02 8.326672684688674053e-17
4.917424146390377615e+01 5.393325445974488730e+02 8.593145580199875511e+00 1.649295467987400496e-02 -2.359223927328457648e-16
4.947592392685153584e+01 5.384776656796096859e+02 8.659590306795335479e+00 -1.590812407474605965e-03 -1.389947185126416684e-16
4.977760638982105945e+01 5.434560600373978332e+02 8.632581769542778005e+00 5.746765692483450823e-03 -1.335737076502141463e-16
5.007928885282933607e+01 5.468188969664117849e+02 8.631489886132102995e+00 6.043834924662241405e-03 4.423544863740858091e-16
5.038097131575398180e+01 5.485198107773303491e+02 8.656560050693004271e+00 -7.686635120647559907e-04 -9.833713704443525216e-17
5.068265377873698441e+01 5.523077708961479857e+02 8.648669881144282812e+00 1.373409914165325601e-03 3.621235256101584810e-17
5.098433624173429024e+01 5.537220008609288016e+02 8.677929499070740960e+00 -6.559766456987763464e-03 -2.099015405931936584e-16
5.128601870464569146e+01 5.592502344147923168e+02 8.642988577178606135e+00 2.916971713189680897e-03 2.103352214621878602e-16
5.158770116765654024e+01 5.630255231365566715e+02 8.635534430181809995e+00 4.943588773697405250e-03 -1.951563910473907981e-16
5.188938363064054471e+01 5.668416922922650656e+02 8.627557321380217914e+00 7.114018893064537850e-03 -1.465841337200401995e-16
5.219106609355869608e+01 5.704047962614697553e+02 8.623511104597222143e+00 8.215525674702437581e-03 6.591949208711866959e-17
5.249274855657464656e+01 5.755171703278417681e+02 8.596311721062820155e+00 1.562910125251593466e-02 -1.387778780781445676e-16
5.279443101952943351e+01 5.805845670534865803e+02 8.570255190375752008e+00 2.274242068746766196e-02 -2.081668171172168513e-17
5.309611348247014462e+01 5.838051453208820476e+02 8.571679851794465677e+00 2.235329105698018182e-02 1.353084311261909534e-16
5.339779594546985209e+01 5.840782049054960225e+02 8.616352504746393137e+00 1.016524622134096396e-02 -3.070460552478948557e-16
5.369947840841663833e+01 5.807617710871243162e+02 8.714514036643290495e+00 -1.643272688377860058e-02 -1.249000902703301108e-16
5.400116087138435006e+01 5.908935132643096040e+02 8.613209307798401326e+00 1.102168233494711311e-02 -7.459310946700270506e-17
5.430284333435885458e+01 5.921803107549582137e+02 8.642506881262304930e+00 3.047887408250575265e-03 -1.947227101783965963e-16
5.460452579732135092e+01 5.889142275036039109e+02 8.738717919490371244e+00 -2.293054891102091694e-02 -7.632783294297951215e-17
5.490620826032791513e+01 5.950769393057648813e+02 8.695998573311527480e+00 -1.144312588986324923e-02 -2.393918396847993790e-16
5.520789072325112556e+01 5.988082388926635531e+02 8.689294467812578304e+00 -9.632806036773021094e-03 -1.543903893619358314e-16
5.550957318624733006e+01 6.060948385350751551e+02 8.631741580937134728e+00 5.975353494336579571e-03 2.064320936412400442e-16
5.581125564920942850e+01 6.083219754480113579e+02 8.646879669572095750e+00 1.859692817862192062e-03 -1.864827736675067626e-16
5.611293811215360705e+01 6.088638421210383740e+02 8.685882554482663664e+00 -8.710774096723616217e-03 -2.151057110211240797e-16
5.641462057516523743e+01 6.135480370847797076e+02 8.665911070114216130e+00 -3.304738487103830568e-03 1.613292832658430598e-16
5.671630303808034768e+01 6.235117061334821074e+02 8.573031711054714066e+00 2.198406432357495610e-02 4.163336342344337027e-17
5.701798550110461150e+01 6.326540413452029270e+02 8.494087099730709411e+00 4.355401401197938477e-02 -6.245004513516505540e-17
5.731966796402823405e+01 6.387648497927048084e+02 8.457339872745166076e+00 5.357824281485710355e-02 2.081668171172168513e-16
5.762135042701868315e+01 6.419499628447723580e+02 8.459669211097880392e+00 5.294354040686694018e-02 -7.632783294297951215e-17
5.792303289000819433e+01 6.355230257337726698e+02 8.589959792131233840e+00 1.736232306408055578e-02 -6.938893903907228378e-17
5.822471535292461198e+01 6.346247505758967691e+02 8.646921090492311279e+00 1.848440397978126171e-03 2.797241605012601440e-17
5.852639781592786505e+01 6.352295373035880175e+02 8.683448609776453608e+00 -8.052743413280499460e-03 2.255140518769849223e-17
5.882808027887927693e+01 6.353714013793345430e+02 8.726259842402567912e+00 -1.958971784708463809e-02 -9.367506770274758310e-17
5.912976274188454795e+01 6.365752466320932399e+02 8.754422790764230911e+00 -2.713014872532310343e-02 -2.844946500601963635e-16
5.943144520482187687e+01 6.363533374683264583e+02 8.802156631589250324e+00 -3.980315141955254044e-02 -9.020562075079396891e-17
5.973312766781218386e+01 6.431811218859821793e+02 8.752922715154234368e+00 -2.672961553739223658e-02 -1.283695372222837250e-16
6.003481013077801975e+01 6.463737872508689861e+02 8.753677308079454988e+00 -2.693111454192933726e-02 -1.457167719820517959e-16
6.033649259372534601e+01 6.479937498887784386e+02 8.775671767282815949e+00 -3.278947377256098694e-02 -2.775557561562891351e-17
6.063817505671219976e+01 6.480369647682609866e+02 8.818961987147543979e+00 -4.422843035252013721e-02 4.163336342344337027e-17
6.093985751966099684e+01 6.533890431957851206e+02 8.790239629280517164e+00 -3.665308697483112693e-02 -2.775557561562891351e-17
6.124153998267297538e+01 6.684204720390318926e+02 8.635102311446985368e+00 5.061118562258242436e-03 -4.770489558936219510e-17
6.154322244559919142e+01 6.642580972136148603e+02 8.732015597146446595e+00 -2.113421645300112006e-02 -5.898059818321144121e-17
6.184490490857724154e+01 6.640587985138390650e+02 8.777453112174818273e+00 -3.326264689910893302e-02 2.012279232133096230e-16
6.214658737156937462e+01 6.746247463241965079e+02 8.682127214988407005e+00 -7.695399392747854540e-03 4.354155924701785807e-16
6.244826983450827385e+01 6.686174578356392431e+02 8.802657937315389702e+00 -3.993544915024468955e-02 1.734723475976807094e-16
6.274995229751279169e+01 6.714521006928877114e+02 8.807841495210810834e+00 -4.130238673821362561e-02 -9.020562075079396891e-17
6.305163476044082671e+01 6.820417742877149294e+02 8.712775083333879067e+00 -1.596477309849620579e-02 -7.285838599102589797e-17
6.335331722344032102e+01 6.865827931033410323e+02 8.696561491299130253e+00 -1.159504570345826907e-02 1.613292832658430598e-16
6.365499968639228001e+01 6.912783351601373170e+02 8.678620573261776272e+00 -6.746773100888030748e-03 -1.847480501915299556e-16
6.395668214936321760e+01 6.989926211991197533e+02 8.623517760905512475e+00 8.213713300496651090e-03 6.938893903907228378e-17
6.425836461234058561e+01 7.106828213722654937e+02 8.521675216857929058e+00 3.601742913789154898e-02 1.387778780781445676e-17
6.456004707528612130e+01 7.020960471578372335e+02 8.666394167643025170e+00 -3.435678295750841955e-03 2.211772431870429045e-16
6.486172953829687060e+01 6.875454120216446654e+02 8.891156691053302197e+00 -6.298657521627672173e-02 -2.775557561562891351e-17
6.516341200121024713e+01 6.948148362148806427e+02 8.839055490283270089e+00 -4.949202197717436635e-02 4.302114220422481594e-16
6.546509446423249301e+01 7.014368267100929870e+02 8.796144656390991301e+00 -3.821519613111707542e-02 -1.318389841742373392e-16
6.576677692713630563e+01 7.001862319096969713e+02 8.852462980358213329e+00 -5.298655389315984343e-02 -2.636779683484746784e-16
6.606845939018037939e+01 7.132377537656245750e+02 8.730336506656325213e+00 -2.068382474833119905e-02 -2.428612866367529932e-17
6.637014185312924042e+01 7.247095000881329270e+02 8.631373676134217021e+00 6.075454027901327179e-03 -1.292368989602721285e-16
6.667182431603971793e+01 7.189285421699945573e+02 8.740328190635645811e+00 -2.336177235787455231e-02 1.249000902703301108e-16
6.697350677914482731e+01 7.161320619280015762e+02 8.814162417866766575e+00 -4.296666169507609018e-02 4.163336342344337027e-17
6.727518924191541316e+01 7.139671825548801962e+02 8.880712396400040731e+00 -6.030030783386737536e-02 1.595945597898662527e-16
6.757687170508539509e+01 7.188502635832276155e+02 8.859939870218736857e+00 -5.492893995452816092e-02 -7.632783294297951215e-17
6.787855416790040408e+01 7.307577493282406067e+02 8.754478511088093384e+00 -2.714502404230003871e-02 -2.567390744445674500e-16
6.818023663092000675e+01 7.281700667472269970e+02 8.824636179149601745e+00 -4.571792875465208184e-02 1.595945597898662527e-16
